City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,llorente,11.4119,125.5458,25.77,86,100,6.94,PH,1706589158
122,san patricio,28.017,-97.5169,14.35,59,99,2.92,US,1706589158
123,avarua,-21.2078,-159.775,29.03,79,100,3.09,CK,1706589159
124,puerto ayora,-0.7393,-90.3518,25.0,89,75,4.28,EC,1706589159
125,ancud,-41.8697,-73.8203,11.42,78,90,1.05,CL,1706589159
126,saipan,15.1355,145.701,29.39,61,40,7.72,MP,1706589159
127,lahad datu,5.0268,118.327,28.65,75,100,2.87,MY,1706589159
128,palikir - national government center,6.9248,158.1611,30.47,66,100,4.63,FM,1706589160
129,port elizabeth,-33.918,25.5701,21.84,85,40,1.54,ZA,1706589160
130,tallahassee,30.4383,-84.2807,8.51,90,0,0.0,US,1706589067
131,puerto baquerizo moreno,-0.9,-89.6,25.03,87,79,5.29,EC,1706589160
132,ulsan,35.5372,129.3167,8.63,50,21,1.89,KR,1706589160
133,samana,19.2056,-69.3369,22.29,90,22,1.57,DO,1706589160
134,isafjordur,66.0755,-23.124,-2.62,81,86,9.16,IS,1706589161
135,itamarandiba,-17.8572,-42.8589,18.4,99,95,0.51,BR,1706589161
136,juneau,58.3019,-134.4197,6.0,95,100,8.23,US,1706589161
137,kapuskasing,49.4169,-82.4331,-0.95,86,100,3.09,CA,1706589161
138,newnham,-41.3833,147.1333,24.53,43,40,8.23,AU,1706589161
139,kuqa,41.7278,82.9364,-1.6,49,100,1.24,CN,1706589162
140,quzhou,28.9594,118.8686,14.49,79,86,0.43,CN,1706589162
141,makinsk,52.6292,70.4169,-17.66,100,97,2.11,KZ,1706589162
142,vila velha,-20.3297,-40.2925,23.97,97,0,2.57,BR,1706589162
143,amga,60.8953,131.9608,-33.34,95,94,0.81,RU,1706589162
144,recani,31.2846,-4.2688,12.12,27,99,1.49,MA,1706589163
145,nuku'alofa,-21.1333,-175.2,29.19,74,75,3.6,TO,1706589091
146,howrah,22.5892,88.3103,23.0,64,1,4.12,IN,1706589163
147,tash-kumyr,41.3461,72.2171,4.13,98,100,2.55,KG,1706589163
148,guerrero negro,27.9769,-114.0611,18.18,55,79,4.06,MX,1706589163
149,pedro velho,-6.4392,-35.2214,24.71,88,1,2.54,BR,1706589164
150,urucara,-2.5364,-57.76,24.13,90,45,0.46,BR,1706589164
151,sao miguel do tapuio,-5.5036,-41.3233,23.13,62,46,0.98,BR,1706589164
152,ciudad bolivar,8.1222,-63.5497,27.24,65,55,5.26,VE,1706589164
153,stanley,54.868,-1.6985,4.84,94,100,5.66,GB,1706589083
154,turkmenbasy,40.0222,52.9552,1.43,93,100,2.06,TM,1706589165
155,quang ngai,15.1167,108.8,25.69,69,79,2.18,VN,1706589165
156,papao,-17.75,-149.55,30.82,78,80,2.33,PF,1706589165
157,hadibu,12.65,54.0333,24.98,70,52,3.04,YE,1706589165
158,arraial do cabo,-22.9661,-42.0278,24.02,92,6,2.24,BR,1706589165
159,mu'minobod,38.1085,70.0285,2.35,98,100,1.69,TJ,1706589166
160,kameshkovo,56.3481,41.0047,-0.71,88,100,5.37,RU,1706589166
161,tayshet,55.9342,98.0044,-22.4,88,15,3.33,RU,1706589166
162,tsiombe,-25.3,45.4833,25.76,65,3,7.05,MG,1706589166
163,utrik,11.2278,169.8474,26.4,73,98,7.67,MH,1706589166
164,okhotsk,59.3833,143.3,-19.72,81,88,2.17,RU,1706589140
165,lycksele,64.5954,18.6735,3.02,70,69,0.0,SE,1706589023
166,olonkinbyen,70.9221,-8.7187,-4.92,83,100,11.19,SJ,1706589167
167,otjiwarongo,-20.4637,16.6477,19.45,68,89,3.3,NA,1706589167
168,cockburn town,21.4612,-71.1419,24.78,79,3,7.82,TC,1706589167
169,mossel bay,-34.1831,22.146,17.96,76,91,1.48,ZA,1706589167
170,canutama,-6.5339,-64.3831,23.77,97,43,0.88,BR,1706589167
171,farsala,39.2947,22.3847,5.19,95,88,1.32,GR,1706589168
172,luena,-11.7833,19.9167,28.1,47,97,2.57,AO,1706589168
173,selfoss,63.9331,-20.9971,-1.64,77,100,7.93,IS,1706589168
174,el jadid,33.2549,-8.506,15.62,42,1,3.1,MA,1706589168
175,imeko,7.45,2.85,23.37,68,1,1.17,NG,1706589168
176,chernyshevskiy,63.0128,112.4714,-30.68,90,42,1.29,RU,1706589169
177,santiago de cao,-7.9589,-79.2392,24.07,83,20,4.12,PE,1706589169
178,lazaro cardenas,17.9583,-102.2,24.68,78,100,1.25,MX,1706589169
179,klaksvik,62.2266,-6.589,7.51,80,97,15.91,FO,1706589169
180,kone,-21.0595,164.8658,29.54,54,75,3.09,NC,1706589169
181,ifrane,33.3333,-5.25,5.72,54,70,1.24,MA,1706589170
182,constitucion,-35.3333,-72.4167,14.67,64,1,3.87,CL,1706589170
183,panama city beach,30.1766,-85.8055,10.55,71,15,1.34,US,1706589170
184,kerikeri,-35.2268,173.9474,26.62,67,79,2.24,NZ,1706589170
185,lihue,21.9789,-159.3672,25.77,71,0,5.66,US,1706589171
186,amal,59.051,12.7049,0.58,99,100,0.95,SE,1706589171
187,bubaque,11.2833,-15.8333,25.18,63,40,3.07,GW,1706589171
188,college,64.8569,-147.8028,-23.22,64,100,0.0,US,1706589171
189,verkhnevilyuysk,63.4453,120.3167,-27.42,90,54,2.44,RU,1706589171
190,alice springs,-23.7,133.8833,40.12,13,33,9.26,AU,1706588966
191,payakumbuh,-0.2202,100.6308,29.09,62,95,1.56,ID,1706589172
192,kiunga,-6.1219,141.2906,34.47,46,88,1.61,PG,1706589172
193,kachug,53.9606,105.8817,-27.46,91,47,0.77,RU,1706589172
194,zalingei,12.9096,23.4741,16.11,25,9,2.51,SD,1706589172
195,nadym,65.5333,72.5167,-21.55,97,16,6.75,RU,1706589172
196,bel ombre,-4.6167,55.4167,29.91,74,40,4.63,SC,1706589173
197,paita,-5.0892,-81.1144,23.61,86,94,4.25,PE,1706589173
198,levuka,50.1834,-105.4011,3.84,88,97,5.39,CA,1706589173
199,anna regina,7.2644,-58.5077,25.45,85,18,3.75,GY,1706589173
200,faranah,10.0404,-10.7434,20.01,21,67,0.62,GN,1706589173
201,ribeira brava,32.65,-17.0667,18.89,76,100,0.5,PT,1706589174
202,bocas del toro,9.3333,-82.25,22.81,78,57,5.03,PA,1706589124
203,durban,-29.8579,31.0292,22.51,85,7,5.27,ZA,1706589159
204,tura,25.5198,90.2201,22.96,29,0,1.38,IN,1706589174
205,weno,7.4515,151.8468,25.97,100,100,3.6,FM,1706589174
206,las heras,-46.5419,-68.9359,17.99,43,100,5.56,AR,1706589082
